Epoch: 114 | mean loss: 7.49220 | total acc: 0.76898 | total recall: 0.75257 | total f1 scroe: 0.76069
Epoch: 115 | mean loss: 6.70931 | total acc: 0.77653 | total recall: 0.76364 | total f1 scroe: 0.77003
Epoch: 116 | mean loss: 6.88019 | total acc: 0.77919 | total recall: 0.77549 | total f1 scroe: 0.77734
Epoch: 117 | mean loss: 7.53233 | total acc: 0.77831 | total recall: 0.76601 | total f1 scroe: 0.77211
Epoch: 118 | mean loss: 9.43826 | total acc: 0.75779 | total recall: 0.74941 | total f1 scroe: 0.75358
Epoch: 119 | mean loss: 6.83438 | total acc: 0.80695 | total recall: 0.78972 | total f1 scroe: 0.79824
Epoch: 120 | mean loss: 7.59593 | total acc: 0.78509 | total recall: 0.78261 | total f1 scroe: 0.78385
Epoch: 121 | mean loss: 10.46263 | total acc: 0.73214 | total recall: 0.71304 | total f1 scroe: 0.72247
Epoch: 122 | mean loss: 7.21940 | total acc: 0.77102 | total recall: 0.76126 | total f1 scroe: 0.76611
Epoch: 123 | mean loss: 7.08493 | total acc: 0.80276 | total recall: 0.78182 | total f1 scroe: 0.79215
Epoch: 124 | mean loss: 6.22607 | total acc: 0.80414 | total recall: 0.79842 | total f1 scroe: 0.80127
Epoch: 125 | mean loss: 6.21469 | total acc: 0.78756 | total recall: 0.77075 | total f1 scroe: 0.77907
Epoch: 126 | mean loss: 8.32764 | total acc: 0.75401 | total recall: 0.74387 | total f1 scroe: 0.74891
Epoch: 127 | mean loss: 7.47183 | total acc: 0.76830 | total recall: 0.75494 | total f1 scroe: 0.76156
Epoch: 128 | mean loss: 6.33834 | total acc: 0.79376 | total recall: 0.78498 | total f1 scroe: 0.78935
Epoch: 129 | mean loss: 5.72870 | total acc: 0.81722 | total recall: 0.79526 | total f1 scroe: 0.80609
Epoch: 130 | mean loss: 7.63148 | total acc: 0.77143 | total recall: 0.74704 | total f1 scroe: 0.75904
Epoch: 131 | mean loss: 8.20234 | total acc: 0.76378 | total recall: 0.76680 | total f1 scroe: 0.76529
Epoch: 132 | mean loss: 8.79081 | total acc: 0.76221 | total recall: 0.75257 | total f1 scroe: 0.75736
Epoch: 133 | mean loss: 6.97486 | total acc: 0.78832 | total recall: 0.76838 | total f1 scroe: 0.77822
Epoch: 134 | mean loss: 5.93704 | total acc: 0.82063 | total recall: 0.81739 | total f1 scroe: 0.81901
Epoch: 135 | mean loss: 5.92591 | total acc: 0.80630 | total recall: 0.78972 | total f1 scroe: 0.79792
Epoch: 136 | mean loss: 7.10175 | total acc: 0.78327 | total recall: 0.77708 | total f1 scroe: 0.78016
Epoch: 137 | mean loss: 7.86291 | total acc: 0.74778 | total recall: 0.73360 | total f1 scroe: 0.74062
Epoch: 138 | mean loss: 8.08040 | total acc: 0.75626 | total recall: 0.74071 | total f1 scroe: 0.74840
Epoch: 139 | mean loss: 8.18694 | total acc: 0.76661 | total recall: 0.76601 | total f1 scroe: 0.76631
Epoch: 140 | mean loss: 6.73064 | total acc: 0.79036 | total recall: 0.77787 | total f1 scroe: 0.78406
Epoch: 141 | mean loss: 7.07446 | total acc: 0.77787 | total recall: 0.76680 | total f1 scroe: 0.77229
Epoch: 142 | mean loss: 6.91029 | total acc: 0.79516 | total recall: 0.77945 | total f1 scroe: 0.78723
Epoch: 143 | mean loss: 6.32264 | total acc: 0.79904 | total recall: 0.78577 | total f1 scroe: 0.79235
Epoch: 144 | mean loss: 6.75466 | total acc: 0.78739 | total recall: 0.76996 | total f1 scroe: 0.77858
Epoch: 145 | mean loss: 9.09435 | total acc: 0.74059 | total recall: 0.73123 | total f1 scroe: 0.73588
Epoch: 146 | mean loss: 7.65744 | total acc: 0.76489 | total recall: 0.76126 | total f1 scroe: 0.76307
