Epoch: 127 | mean loss: 8.11961 | total acc: 0.83137 | total recall: 0.72603 | total f1 scroe: 0.77514
Epoch: 128 | mean loss: 6.48971 | total acc: 0.81985 | total recall: 0.76370 | total f1 scroe: 0.79078
Epoch: 129 | mean loss: 6.16855 | total acc: 0.81852 | total recall: 0.75685 | total f1 scroe: 0.78648
Epoch: 130 | mean loss: 8.00974 | total acc: 0.79104 | total recall: 0.72603 | total f1 scroe: 0.75714
Epoch: 131 | mean loss: 10.54146 | total acc: 0.73852 | total recall: 0.71575 | total f1 scroe: 0.72696
Epoch: 132 | mean loss: 8.25701 | total acc: 0.85328 | total recall: 0.75685 | total f1 scroe: 0.80218
Epoch: 133 | mean loss: 7.66178 | total acc: 0.82377 | total recall: 0.68836 | total f1 scroe: 0.75000
Epoch: 134 | mean loss: 7.72585 | total acc: 0.87712 | total recall: 0.70890 | total f1 scroe: 0.78409
Epoch: 135 | mean loss: 7.81999 | total acc: 0.70227 | total recall: 0.74315 | total f1 scroe: 0.72213
Epoch: 136 | mean loss: 8.74770 | total acc: 0.83401 | total recall: 0.70548 | total f1 scroe: 0.76438
Epoch: 137 | mean loss: 7.87405 | total acc: 0.70588 | total recall: 0.69863 | total f1 scroe: 0.70224
Epoch: 138 | mean loss: 7.52474 | total acc: 0.69360 | total recall: 0.70548 | total f1 scroe: 0.69949
Epoch: 139 | mean loss: 8.61159 | total acc: 0.68285 | total recall: 0.72260 | total f1 scroe: 0.70216
Epoch: 140 | mean loss: 8.27737 | total acc: 0.74007 | total recall: 0.70205 | total f1 scroe: 0.72056
Epoch: 141 | mean loss: 9.30181 | total acc: 0.81897 | total recall: 0.65068 | total f1 scroe: 0.72519
Epoch: 142 | mean loss: 6.77768 | total acc: 0.77211 | total recall: 0.77740 | total f1 scroe: 0.77474
Epoch: 143 | mean loss: 7.98902 | total acc: 0.70903 | total recall: 0.72603 | total f1 scroe: 0.71743
Epoch: 144 | mean loss: 10.45520 | total acc: 0.71371 | total recall: 0.60616 | total f1 scroe: 0.65556
Epoch: 145 | mean loss: 10.07414 | total acc: 0.73333 | total recall: 0.67808 | total f1 scroe: 0.70463
Epoch: 146 | mean loss: 5.50914 | total acc: 0.81752 | total recall: 0.76712 | total f1 scroe: 0.79152
Epoch: 147 | mean loss: 8.41694 | total acc: 0.75484 | total recall: 0.80137 | total f1 scroe: 0.77741
Epoch: 148 | mean loss: 12.08556 | total acc: 0.67110 | total recall: 0.69178 | total f1 scroe: 0.68128
Epoch: 149 | mean loss: 8.41295 | total acc: 0.84615 | total recall: 0.71575 | total f1 scroe: 0.77551
Epoch: 150 | mean loss: 6.93526 | total acc: 0.82231 | total recall: 0.68151 | total f1 scroe: 0.74532
Epoch: 151 | mean loss: 7.78448 | total acc: 0.87029 | total recall: 0.71233 | total f1 scroe: 0.78343
Epoch: 152 | mean loss: 6.80321 | total acc: 0.74257 | total recall: 0.77055 | total f1 scroe: 0.75630
Epoch: 153 | mean loss: 8.30827 | total acc: 0.74729 | total recall: 0.70890 | total f1 scroe: 0.72759
Epoch: 154 | mean loss: 8.91616 | total acc: 0.80769 | total recall: 0.64726 | total f1 scroe: 0.71863
Epoch: 155 | mean loss: 7.89444 | total acc: 0.76744 | total recall: 0.67808 | total f1 scroe: 0.72000
Epoch: 156 | mean loss: 7.13378 | total acc: 0.78648 | total recall: 0.75685 | total f1 scroe: 0.77138
Epoch: 157 | mean loss: 7.22987 | total acc: 0.82657 | total recall: 0.76712 | total f1 scroe: 0.79574
Epoch: 158 | mean loss: 6.27081 | total acc: 0.73913 | total recall: 0.75685 | total f1 scroe: 0.74788
Epoch: 159 | mean loss: 9.16577 | total acc: 0.73010 | total recall: 0.72260 | total f1 scroe: 0.72633
Epoch: 160 | mean loss: 6.95616 | total acc: 0.84677 | total recall: 0.71918 | total f1 scroe: 0.77778
Epoch: 161 | mean loss: 10.05078 | total acc: 0.81319 | total recall: 0.76027 | total f1 scroe: 0.78584
